               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10861,            0.031356,            0.051644,             0.54333,            0.040484,             0.01873,           0.0054234,            0.091348,            0.021761,             0.04521,            0.070476,           0.0032804,           0.0032804
                   1,            0.076625,            0.032962,            0.042763,              0.4322,             0.13975,            0.062347,            0.022802,            0.069806,            0.021327,            0.041973,            0.040411,           0.0065483,           0.0065483
                   2,            0.067466,            0.028321,            0.041383,             0.45075,             0.15783,            0.064466,            0.027527,            0.064795,            0.018414,            0.041131,            0.010279,           0.0097501,           0.0097501
                   3,            0.062812,            0.027444,            0.040589,             0.34014,             0.19677,             0.08381,            0.036506,            0.060349,            0.019488,             0.04038,            0.009703,            0.009703,            0.009703
                   4,            0.057528,            0.026819,            0.040672,             0.32711,             0.22705,            0.097793,            0.044358,            0.055487,             0.01938,            0.039734,            0.009703,            0.009703,            0.009703
                   5,             0.05402,            0.026649,            0.038226,             0.28336,             0.22576,             0.11051,            0.057518,            0.052394,            0.018655,            0.039147,            0.009604,            0.009604,            0.009604
                   6,             0.05064,            0.025741,            0.038548,             0.46737,             0.21637,             0.11066,            0.054675,            0.054467,            0.018837,            0.038869,            0.009505,            0.009505,            0.009505
                   7,            0.049762,            0.025714,            0.038237,             0.46782,             0.21466,             0.13709,            0.074281,            0.051643,            0.018726,            0.038478,            0.009406,            0.009406,            0.009406
                   8,             0.04819,            0.025033,            0.036299,             0.52118,             0.19159,             0.13149,            0.070302,            0.050338,            0.018486,            0.037525,            0.009307,            0.009307,            0.009307
                   9,            0.047566,            0.026847,            0.034717,               0.559,             0.15234,             0.11792,            0.064679,            0.051401,            0.019744,            0.037723,            0.009208,            0.009208,            0.009208
                  10,            0.047455,            0.024399,            0.033696,             0.54045,             0.19848,             0.13308,            0.075323,            0.049001,            0.019674,            0.038923,            0.009109,            0.009109,            0.009109
                  11,            0.046122,            0.025064,            0.032434,             0.53066,             0.15955,              0.1247,            0.068955,            0.050175,            0.021057,             0.03708,             0.00901,             0.00901,             0.00901
                  12,            0.045103,            0.024263,            0.032401,             0.56839,             0.18305,             0.14686,            0.084516,            0.048703,            0.019282,            0.036519,            0.008911,            0.008911,            0.008911
                  13,            0.043545,            0.023598,             0.03097,              0.5795,             0.16598,             0.14956,             0.08639,            0.049854,            0.018481,            0.037292,            0.008812,            0.008812,            0.008812
                  14,            0.044323,            0.025383,            0.031581,             0.52522,             0.16617,             0.12635,            0.073801,            0.049534,            0.019276,            0.037377,            0.008713,            0.008713,            0.008713
                  15,            0.044308,            0.024612,            0.030041,              0.4143,             0.22388,             0.15717,            0.087353,            0.047283,            0.018817,            0.036931,            0.008614,            0.008614,            0.008614
                  16,            0.043403,            0.024495,            0.029996,             0.54318,             0.20578,             0.15647,            0.089575,            0.047714,            0.019542,            0.036257,            0.008515,            0.008515,            0.008515
                  17,            0.042973,            0.024055,             0.02857,             0.53427,             0.17892,             0.13939,            0.074704,            0.049311,            0.019021,            0.038248,            0.008416,            0.008416,            0.008416
                  18,            0.043691,             0.02381,            0.027712,             0.35295,             0.19199,             0.13123,            0.075835,             0.04801,            0.018487,            0.039897,            0.008317,            0.008317,            0.008317
                  19,            0.041707,            0.023483,            0.027705,              0.5678,             0.18958,             0.16177,            0.096454,            0.046966,            0.018397,            0.035787,            0.008218,            0.008218,            0.008218
                  20,            0.042156,            0.023287,            0.026867,             0.39512,              0.1849,             0.15615,            0.087489,            0.047193,            0.019872,            0.039652,            0.008119,            0.008119,            0.008119
                  21,            0.040762,            0.022009,            0.025968,             0.57721,             0.15298,             0.14432,            0.077331,            0.048121,            0.021347,            0.038735,             0.00802,             0.00802,             0.00802
                  22,            0.041494,            0.023172,            0.025875,             0.41885,              0.2136,             0.15042,            0.083244,             0.04783,            0.018611,            0.037634,            0.007921,            0.007921,            0.007921
                  23,            0.039963,            0.022241,            0.024424,             0.35736,             0.25221,              0.1643,            0.092724,            0.048099,            0.018577,            0.036514,            0.007822,            0.007822,            0.007822
                  24,            0.040537,             0.02353,            0.024026,             0.54367,             0.20129,             0.17312,            0.096071,            0.047831,            0.018648,            0.037911,            0.007723,            0.007723,            0.007723
                  25,            0.039281,            0.021502,            0.023327,             0.33473,             0.24013,              0.1599,            0.091678,            0.047456,            0.019043,            0.039037,            0.007624,            0.007624,            0.007624
                  26,            0.040067,             0.02179,            0.023417,              0.5142,             0.21807,             0.15691,            0.089076,            0.046771,            0.018781,            0.039416,            0.007525,            0.007525,            0.007525
                  27,            0.038946,            0.021896,            0.022964,             0.20994,             0.24642,             0.16608,            0.098966,            0.046302,            0.018692,            0.039114,            0.007426,            0.007426,            0.007426
