               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08655,            0.031725,             0.04268,          0.00090684,            0.011026,           0.0004393,          9.1229e-05,             0.11195,               1.919,            0.070299,            0.070476,           0.0032804,           0.0032804
                   1,            0.075793,            0.033142,            0.040839,             0.17606,            0.013138,           0.0034132,           0.0010782,            0.093576,             0.26528,            0.045488,            0.040345,           0.0064828,           0.0064828
                   2,            0.073582,            0.032028,             0.04066,             0.17651,            0.030341,           0.0091945,           0.0019835,            0.090568,             0.16736,            0.045626,            0.010082,           0.0095532,           0.0095532
                   3,            0.071476,            0.031394,            0.041138,             0.19496,            0.098043,            0.015448,           0.0057981,            0.077884,            0.084307,            0.042969,            0.009406,            0.009406,            0.009406
                   4,            0.071345,            0.031005,            0.041101,             0.21399,            0.065481,            0.022087,           0.0077857,            0.080631,             0.02754,            0.050004,            0.009406,            0.009406,            0.009406
                   5,             0.06868,            0.032024,            0.041516,             0.36696,            0.086664,            0.023937,            0.010099,            0.071673,             0.04532,            0.042316,            0.009208,            0.009208,            0.009208
                   6,            0.065063,            0.031145,            0.040875,             0.22641,             0.17848,            0.042695,            0.016864,            0.068271,            0.039286,            0.041802,             0.00901,             0.00901,             0.00901
                   7,            0.064773,            0.032045,            0.041144,             0.41556,             0.10974,            0.038782,            0.017256,            0.067461,            0.029201,            0.041174,            0.008812,            0.008812,            0.008812
                   8,            0.064211,            0.032293,            0.040837,             0.28209,             0.15135,            0.059378,            0.026462,            0.065516,            0.022956,            0.040871,            0.008614,            0.008614,            0.008614
                   9,            0.061052,            0.031367,             0.04126,             0.27554,             0.16359,             0.05938,            0.026845,             0.06386,            0.021158,            0.040681,            0.008416,            0.008416,            0.008416
                  10,            0.059802,             0.03008,            0.039688,             0.26318,             0.17303,            0.069114,            0.034341,            0.060115,             0.02111,            0.041168,            0.008218,            0.008218,            0.008218
                  11,            0.058281,            0.030004,             0.04034,             0.28831,             0.16569,             0.07096,            0.033287,            0.059307,            0.021385,            0.040685,             0.00802,             0.00802,             0.00802
                  12,            0.057519,            0.031042,            0.040543,             0.30377,             0.15291,            0.073365,             0.03807,            0.061563,            0.024578,            0.042502,            0.007822,            0.007822,            0.007822
                  13,            0.057335,            0.031543,            0.040477,             0.28104,             0.14585,            0.059558,            0.030736,            0.060187,             0.02383,            0.040911,            0.007624,            0.007624,            0.007624
                  14,            0.057599,            0.032277,            0.040752,             0.29011,             0.17746,            0.067018,            0.034431,            0.060153,            0.020615,            0.040756,            0.007426,            0.007426,            0.007426
                  15,            0.056977,            0.030186,            0.040515,             0.39993,             0.13937,             0.07043,            0.035887,            0.062038,            0.022174,            0.040989,            0.007228,            0.007228,            0.007228
                  16,            0.057014,            0.029794,            0.040422,             0.40825,             0.14327,            0.071073,            0.036119,            0.060635,            0.024216,            0.040854,             0.00703,             0.00703,             0.00703
                  17,            0.057189,            0.030908,            0.040622,             0.46088,             0.18449,            0.078273,            0.040219,            0.056913,             0.02013,            0.040261,            0.006832,            0.006832,            0.006832
                  18,            0.055015,            0.030914,            0.040224,             0.29158,             0.16914,            0.082754,            0.044433,            0.056435,            0.020057,            0.040477,            0.006634,            0.006634,            0.006634
                  19,            0.054428,            0.029463,            0.039182,             0.27019,             0.16985,            0.070837,            0.037719,            0.057151,            0.020114,            0.040681,            0.006436,            0.006436,            0.006436
                  20,             0.05541,            0.028588,            0.040181,             0.30437,             0.17682,            0.071714,            0.037691,             0.05796,            0.022085,            0.040474,            0.006238,            0.006238,            0.006238
